Date,Close
1/2/2015,223.08
1/5/2015,219.79
1/6/2015,220.18
1/7/2015,224.35
1/8/2015,229.21
1/9/2015,226.9
1/12/2015,220.89
1/13/2015,219.6
1/14/2015,216.82
1/15/2015,215.97
1/16/2015,220.2
1/20/2015,220.36
1/21/2015,228.28
1/22/2015,229.88
1/23/2015,233.33
1/26/2015,229.46
1/27/2015,227.53
1/28/2015,220.31
1/29/2015,220.39
1/30/2015,217.92
2/2/2015,217.6
2/3/2015,217.16
2/4/2015,217.24
2/5/2015,216.8
2/6/2015,211.78
2/9/2015,215.03
2/10/2015,219.44
2/11/2015,214.67
2/12/2015,205.02
2/13/2015,212.13
2/17/2015,208.81
2/18/2015,207.15
2/19/2015,207.24
2/20/2015,209.63
2/23/2015,206.43
2/24/2015,208.06
2/25/2015,203.53
2/26/2015,205.88
2/27/2015,203.75
3/2/2015,205.04
3/3/2015,206.34
3/4/2015,207.69
3/5/2015,214.23
3/6/2015,213.31
3/9/2015,211.62
3/10/2015,210.39
3/11/2015,204.38
3/12/2015,203.39
3/13/2015,204.45
3/16/2015,205.3
3/17/2015,203.27
3/18/2015,210.95
3/19/2015,214.57
3/20/2015,212.69
3/23/2015,216.78
3/24/2015,213.6
3/25/2015,207.74
3/26/2015,205.44
3/27/2015,207.33
3/30/2015,210.54
3/31/2015,208.4
4/1/2015,211.07
4/2/2015,208.51
4/6/2015,203.6
4/7/2015,203.87
4/8/2015,212.84
4/9/2015,218.48
4/10/2015,214.79
4/13/2015,215.4
4/14/2015,213.91
4/15/2015,210.77
4/16/2015,206.9
4/17/2015,207.87
4/20/2015,211.86
4/21/2015,212.85
4/22/2015,213.37
4/23/2015,212.28
4/24/2015,216.9
4/27/2015,220.46
4/28/2015,219.19
4/29/2015,219
4/30/2015,200.28
5/1/2015,202.47
5/4/2015,203.7
5/5/2015,194.74
5/6/2015,190.05
5/7/2015,193.63
5/8/2015,193.54
5/11/2015,190.84
5/12/2015,189.97
5/13/2015,189.18
5/14/2015,190.27
5/15/2015,192.98
5/18/2015,191.32
5/19/2015,193.14
5/20/2015,195.51
5/21/2015,200.13
5/22/2015,203.8
5/26/2015,200.19
5/27/2015,201.45
5/28/2015,200.27
5/29/2015,197.4
6/1/2015,201.56
6/2/2015,203.36
6/3/2015,203.88
6/4/2015,204.33
6/5/2015,205.89
6/8/2015,203.15
6/9/2015,202.56
6/10/2015,204.63
6/11/2015,206.77
6/12/2015,207.6
6/15/2015,205.73
6/16/2015,205
6/17/2015,209.51
6/18/2015,210.7
6/19/2015,210.87
6/22/2015,209.64
6/23/2015,211.98
6/24/2015,210.32
6/25/2015,207.55
6/26/2015,203.36
6/29/2015,200.5
6/30/2015,199.08
7/1/2015,198.71
7/2/2015,197.03
7/6/2015,189.03
7/7/2015,187.54
7/8/2015,184.58
7/9/2015,187.57
7/10/2015,187.75
7/13/2015,193.27
7/14/2015,191.28
7/15/2015,186.58
7/16/2015,190.1
7/17/2015,198.44
7/20/2015,199.61
7/21/2015,202.4
7/22/2015,205.74
7/23/2015,207.63
7/24/2015,206.25
7/27/2015,197.68
7/28/2015,168.03
7/29/2015,170.01
7/30/2015,174.47
7/31/2015,172.66
8/3/2015,169.14
8/4/2015,170.32
8/5/2015,172.74
8/6/2015,174.46
8/7/2015,176.08
8/10/2015,176.85
8/11/2015,167.94
8/12/2015,160.82
8/13/2015,160.89
8/14/2015,164.24
8/17/2015,167.43
8/18/2015,166.11
8/19/2015,162.89
8/20/2015,157.4
8/21/2015,152.91
8/24/2015,141.08
8/25/2015,136.99
8/26/2015,142.4
8/27/2015,152.06
8/28/2015,152.13
8/31/2015,147.25
9/1/2015,143.57
9/2/2015,148.15
9/3/2015,149.08
9/4/2015,146
9/8/2015,148.18
9/9/2015,150.11
9/10/2015,146.75
9/11/2015,144.03
9/14/2015,141.27
9/15/2015,141.4
9/16/2015,150.35
9/17/2015,147.06
9/18/2015,142.57
9/21/2015,140.84
9/22/2015,136.12
9/23/2015,132.37
9/24/2015,132.59
9/25/2015,134.34
9/28/2015,133.06
9/29/2015,136.68
9/30/2015,137.41
10/1/2015,137.53
10/2/2015,148.51
10/5/2015,149.62
10/6/2015,149.8
10/7/2015,144.77
10/8/2015,141.26
10/9/2015,144.22
10/12/2015,144.07
10/13/2015,146.5
10/14/2015,145.02
10/15/2015,150.24
10/16/2015,151
10/19/2015,154.68
10/20/2015,153.21
10/21/2015,149.63
10/22/2015,153.5
10/23/2015,157.6
10/26/2015,166.24
10/27/2015,173.86
10/28/2015,172.54
10/29/2015,168.99
10/30/2015,187.47
11/2/2015,195.19
11/3/2015,192.5
11/4/2015,197.92
11/5/2015,198.91
11/6/2015,200.3
11/9/2015,194.01
11/10/2015,196.99
11/11/2015,199.49
11/12/2015,198.14
11/13/2015,193.95
11/16/2015,198.72
11/17/2015,196.83
11/18/2015,204.73
11/19/2015,207.8
11/20/2015,206.69
11/23/2015,207.46
11/24/2015,205.33
11/25/2015,201.8
11/27/2015,205.58
11/30/2015,217.97
12/1/2015,214.11
12/2/2015,211.36
12/3/2015,207.48
12/4/2015,208.3
12/7/2015,208.54
12/8/2015,205.02
12/9/2015,200.46
12/10/2015,200.01
12/11/2015,193.68
12/14/2015,193.89
12/15/2015,199.13
12/16/2015,199.34
12/17/2015,196.94
12/18/2015,191.92
12/21/2015,197.44
12/22/2015,197.03
12/23/2015,196.53
12/24/2015,193.93
12/28/2015,192.8
12/29/2015,194.68
12/30/2015,192.13
12/31/2015,189.04
1/4/2016,184.03
1/5/2016,187.37
1/6/2016,185.61
1/7/2016,174.37
1/8/2016,171.34
1/11/2016,170.37
1/12/2016,172.91
