Date,Close
1/2/2015,2.69
1/5/2015,2.66
1/6/2015,2.63
1/7/2015,2.58
1/8/2015,2.61
1/9/2015,2.63
1/12/2015,2.63
1/13/2015,2.66
1/14/2015,2.63
1/15/2015,2.52
1/16/2015,2.39
1/20/2015,2.24
1/21/2015,2.45
1/22/2015,2.47
1/23/2015,2.45
1/26/2015,2.61
1/27/2015,2.7
1/28/2015,2.63
1/29/2015,2.61
1/30/2015,2.57
2/2/2015,2.67
2/3/2015,2.76
2/4/2015,2.85
2/5/2015,3.31
2/6/2015,3.03
2/9/2015,3.04
2/10/2015,3.04
2/11/2015,3.07
2/12/2015,3.12
2/13/2015,3.15
2/17/2015,3.11
2/18/2015,3.08
2/19/2015,3.06
2/20/2015,3.06
2/23/2015,3.06
2/24/2015,3.11
2/25/2015,3.1
2/26/2015,3.08
2/27/2015,3.11
3/2/2015,3.21
3/3/2015,3.14
3/4/2015,3.05
3/5/2015,2.98
3/6/2015,2.92
3/9/2015,2.93
3/10/2015,2.92
3/11/2015,2.84
3/12/2015,2.76
3/13/2015,2.75
3/16/2015,2.76
3/17/2015,2.77
3/18/2015,2.75
3/19/2015,2.74
3/20/2015,2.8
3/23/2015,2.84
3/24/2015,2.79
3/25/2015,2.63
3/26/2015,2.65
3/27/2015,2.72
3/30/2015,2.7
3/31/2015,2.68
4/1/2015,2.69
4/2/2015,2.69
4/6/2015,2.7
4/7/2015,2.7
4/8/2015,2.71
4/9/2015,2.72
4/10/2015,2.76
4/13/2015,2.78
4/14/2015,2.67
4/15/2015,2.7
4/16/2015,2.87
4/17/2015,2.58
4/20/2015,2.49
4/21/2015,2.35
4/22/2015,2.28
4/23/2015,2.33
4/24/2015,2.3
4/27/2015,2.34
4/28/2015,2.31
4/29/2015,2.28
4/30/2015,2.26
5/1/2015,2.31
5/4/2015,2.31
5/5/2015,2.28
5/6/2015,2.29
5/7/2015,2.32
5/8/2015,2.31
5/11/2015,2.32
5/12/2015,2.35
5/13/2015,2.37
5/14/2015,2.33
5/15/2015,2.32
5/18/2015,2.35
5/19/2015,2.28
5/20/2015,2.32
5/21/2015,2.28
5/22/2015,2.28
5/26/2015,2.22
5/27/2015,2.28
5/28/2015,2.27
5/29/2015,2.28
6/1/2015,2.25
6/2/2015,2.3
6/3/2015,2.28
6/4/2015,2.33
6/5/2015,2.33
6/8/2015,2.31
6/9/2015,2.29
6/10/2015,2.32
6/11/2015,2.32
6/12/2015,2.31
6/15/2015,2.32
6/16/2015,2.35
6/17/2015,2.47
6/18/2015,2.52
6/19/2015,2.58
6/22/2015,2.62
6/23/2015,2.61
6/24/2015,2.62
6/25/2015,2.58
6/26/2015,2.47
6/29/2015,2.34
6/30/2015,2.4
7/1/2015,2.42
7/2/2015,2.53
7/6/2015,2.47
7/7/2015,2.09
7/8/2015,2.01
7/9/2015,1.98
7/10/2015,1.96
7/13/2015,1.96
7/14/2015,2.05
7/15/2015,1.96
7/16/2015,1.87
7/17/2015,1.79
7/20/2015,1.8
7/21/2015,1.8
7/22/2015,1.79
7/23/2015,1.76
7/24/2015,1.67
7/27/2015,1.62
7/28/2015,1.77
7/29/2015,1.96
7/30/2015,1.93
7/31/2015,1.93
8/3/2015,2.2
8/4/2015,2.13
8/5/2015,2.16
8/6/2015,2.11
8/7/2015,2.09
8/10/2015,1.93
8/11/2015,1.9
8/12/2015,1.9
8/13/2015,1.79
8/14/2015,1.84
8/17/2015,1.8
8/18/2015,1.8
8/19/2015,1.8
8/20/2015,1.7
8/21/2015,1.78
8/24/2015,1.75
8/25/2015,1.66
8/26/2015,1.72
8/27/2015,1.78
8/28/2015,1.85
8/31/2015,1.81
9/1/2015,1.71
9/2/2015,1.77
9/3/2015,1.79
9/4/2015,1.82
9/8/2015,1.88
9/9/2015,1.85
9/10/2015,1.84
9/11/2015,2.01
9/14/2015,1.82
9/15/2015,1.86
9/16/2015,1.89
9/17/2015,1.89
9/18/2015,1.87
9/21/2015,1.81
9/22/2015,1.73
9/23/2015,1.7
9/24/2015,1.72
9/25/2015,1.71
9/28/2015,1.66
9/29/2015,1.67
9/30/2015,1.72
10/1/2015,1.74
10/2/2015,1.83
10/5/2015,1.8
10/6/2015,1.83
10/7/2015,1.86
10/8/2015,1.93
10/9/2015,1.96
10/12/2015,1.87
