Date,Close
7/25/2017,1039.87
7/26/2017,1052.8
7/27/2017,1046
7/28/2017,1020.04
7/31/2017,987.78
8/1/2017,996.19
8/2/2017,995.89
8/3/2017,986.92
8/4/2017,987.58
8/7/2017,992.27
8/8/2017,989.84
8/9/2017,982.01
8/10/2017,956.92
8/11/2017,967.99
8/14/2017,983.3
8/15/2017,982.74
8/16/2017,978.18
8/17/2017,960.57
8/18/2017,958.47
8/21/2017,953.29
8/22/2017,966.9
8/23/2017,958
8/24/2017,952.45
8/25/2017,945.26
8/28/2017,946.02
8/29/2017,954.06
8/30/2017,967.59
8/31/2017,980.6
9/1/2017,978.25
9/5/2017,965.27
9/6/2017,967.8
9/7/2017,979.47
9/8/2017,965.9
9/11/2017,977.96
9/12/2017,982.58
9/13/2017,999.6
9/14/2017,992.21
9/15/2017,986.79
9/18/2017,974.19
9/19/2017,969.86
9/20/2017,973.21
9/21/2017,964.65
9/22/2017,955.1
9/25/2017,939.79
9/26/2017,938.6
9/27/2017,950.87
9/28/2017,956.4
9/29/2017,961.35
10/2/2017,959.19
10/3/2017,957.1
10/4/2017,965.45
10/5/2017,980.85
10/6/2017,989.58
10/9/2017,990.99
10/10/2017,987.2
10/11/2017,995
10/12/2017,1000.93
10/13/2017,1002.94
10/16/2017,1006.34
10/17/2017,1009.13
10/18/2017,997
10/19/2017,986.61
10/20/2017,982.91
10/23/2017,966.3
10/24/2017,975.9
10/25/2017,972.91
10/26/2017,972.43
10/27/2017,1100.95
10/30/2017,1110.85
10/31/2017,1105.28
11/1/2017,1103.68
11/2/2017,1094.22
11/3/2017,1111.6
11/6/2017,1120.66
11/7/2017,1123.17
11/8/2017,1132.88
11/9/2017,1129.13
11/10/2017,1125.35
11/13/2017,1129.17
11/14/2017,1136.84
11/15/2017,1126.69
11/16/2017,1137.29
11/17/2017,1129.88
11/20/2017,1126.31
11/21/2017,1139.49
11/22/2017,1156.16
11/24/2017,1186
11/27/2017,1195.83
11/28/2017,1193.6
11/29/2017,1161.27
11/30/2017,1176.75
12/1/2017,1162.35
12/4/2017,1133.95
12/5/2017,1141.57
12/6/2017,1152.35
12/7/2017,1159.79
12/8/2017,1162
12/11/2017,1168.92
12/12/2017,1165.08
12/13/2017,1164.13
12/14/2017,1174.26
12/15/2017,1179.14
12/18/2017,1190.58
12/19/2017,1187.38
12/20/2017,1177.62
12/21/2017,1174.76
12/22/2017,1168.36
12/26/2017,1176.76
12/27/2017,1182.26
12/28/2017,1186.1
12/29/2017,1169.47
1/2/2018,1189.01
1/3/2018,1204.2
1/4/2018,1209.59
1/5/2018,1229.14
1/8/2018,1246.87
1/9/2018,1252.7
1/10/2018,1254.33
1/11/2018,1276.68
1/12/2018,1305.2
1/16/2018,1304.86
1/17/2018,1295
1/18/2018,1293.32
1/19/2018,1294.58
1/22/2018,1327.31
1/23/2018,1362.54
1/24/2018,1357.51
1/25/2018,1377.95
1/26/2018,1402.05
1/29/2018,1417.68
1/30/2018,1437.82
1/31/2018,1450.89
2/1/2018,1390
2/2/2018,1429.95
2/5/2018,1390
2/6/2018,1442.84
2/7/2018,1416.78
2/8/2018,1350.5
2/9/2018,1339.6
2/12/2018,1386.23
2/13/2018,1414.51
2/14/2018,1451.05
2/15/2018,1461.76
2/16/2018,1448.69
2/20/2018,1468.35
2/21/2018,1482.92
2/22/2018,1485.34
2/23/2018,1500
2/26/2018,1521.95
2/27/2018,1511.98
2/28/2018,1512.45
3/1/2018,1493.45
3/2/2018,1500.25
3/5/2018,1523.61
3/6/2018,1537.64
3/7/2018,1545
3/8/2018,1551.86
3/9/2018,1578.89
3/12/2018,1598.39
3/13/2018,1588.18
3/14/2018,1591
3/15/2018,1582.32
3/16/2018,1571.68
3/19/2018,1544.93
3/20/2018,1586.51
3/21/2018,1581.86
3/22/2018,1544.92
3/23/2018,1495.56
3/26/2018,1555.86
3/27/2018,1497.05
3/28/2018,1431.42
3/29/2018,1447.34
4/2/2018,1371.99
4/3/2018,1392.05
4/4/2018,1410.57
4/5/2018,1451.75
4/6/2018,1405.23
4/9/2018,1406.08
4/10/2018,1436.22
4/11/2018,1427.05
4/12/2018,1448.5
4/13/2018,1430.79
4/16/2018,1441.5
4/17/2018,1503.83
4/18/2018,1527.84
4/19/2018,1556.91
4/20/2018,1527.49
4/23/2018,1517.86
4/24/2018,1460.09
4/25/2018,1460.17
4/26/2018,1517.96
4/27/2018,1572.62
4/30/2018,1566.13
5/1/2018,1582.26
5/2/2018,1569.68
5/3/2018,1572.08
5/4/2018,1580.95
5/7/2018,1600.14
5/8/2018,1592.39
5/9/2018,1608
5/10/2018,1609.08
5/11/2018,1602.91
5/14/2018,1601.54
5/15/2018,1576.12
5/16/2018,1587.28
5/17/2018,1581.76
5/18/2018,1574.37
5/21/2018,1585.46
5/22/2018,1581.4
5/23/2018,1601.86
5/24/2018,1603.07
5/25/2018,1610.15
5/29/2018,1612.87
5/30/2018,1624.89
5/31/2018,1629.62
6/1/2018,1641.54
6/4/2018,1665.27
6/5/2018,1696.35
6/6/2018,1695.75
6/7/2018,1689.3
6/8/2018,1683.99
6/11/2018,1689.12
6/12/2018,1698.75
6/13/2018,1704.86
6/14/2018,1723.86
6/15/2018,1715.97
6/18/2018,1723.79
6/19/2018,1734.78
6/20/2018,1750.08
6/21/2018,1730.22
6/22/2018,1715.67
6/25/2018,1663.15
6/26/2018,1691.09
6/27/2018,1660.51
6/28/2018,1701.45
6/29/2018,1699.8
7/2/2018,1713.78
7/3/2018,1693.96
7/5/2018,1699.73
7/6/2018,1710.63
7/9/2018,1739.02
7/10/2018,1743.07
7/11/2018,1755
7/12/2018,1796.62
7/13/2018,1813.03
7/16/2018,1822.49
7/17/2018,1843.93
7/18/2018,1842.92
7/19/2018,1812.97
7/20/2018,1813.7
7/23/2018,1802
7/24/2018,1829.24
7/25/2018,1863.61
7/26/2018,1808
7/27/2018,1817.27
7/30/2018,1779.22
7/31/2018,1777.44
8/1/2018,1797.17
8/2/2018,1834.33
8/3/2018,1823.29
8/6/2018,1847.75
8/7/2018,1862.48
8/8/2018,1886.52
8/9/2018,1898.52
8/10/2018,1886.3
8/13/2018,1896.2
8/14/2018,1919.65
8/15/2018,1882.62
8/16/2018,1886.52
8/17/2018,1882.22
8/20/2018,1876.71
8/21/2018,1883.42
8/22/2018,1904.9
